Programa de Estaciones Meteorologicas del Bachillerato Universitario  (PEMBU)                                                                                                 
www.ruoa.unam.mx/pembu                                                                                                                                                        
Estacion ENP4-UNAM,Ciudad de Mexico                                                                                                                                           
Lat 19.4037 N, Lon 99.1949 W, Alt 2307 msnm                                                                                                                                   
Horario UTC-6h                                                                                                                                                                
Datos meteorologicos                                                                                                                                                          
                                                                                                                                                                              
Fecha_hora,Temp,Hum_Rel,Rapidez_v_sostenido,Dir_v_sostenido,Rapidez_rachas,Dir_rachas,Presion_bar,Precipitacion,Rad_Solar,Indice_UV,Dosis_UV                                  
aaaa/mm/dd HH:MM:SS,C,%,m/s,grados,m/s,grados,hPa,mm,W/m2,adimensional,mJ/cm2                                                                                                 
2006/10/01 00:00:00,   14.9,   89.0,     .4,  360.0,    3.6,  337.5,  780.6,     .0,     .0,      .0,      .0                                                                 
2006/10/01 00:30:00,   14.8,   89.0,     .0,  360.0,     .4,  360.0,  780.7,     .0,     .0,      .0,      .0                                                                 
2006/10/01 01:00:00,   14.8,   90.0,     .0,  180.0,     .4,  180.0,  780.4,     .0,     .0,      .0,      .0                                                                 
2006/10/01 01:30:00,   14.7,   91.0,     .0,  180.0,    2.7,  180.0,  780.2,     .0,     .0,      .0,      .0                                                                 
2006/10/01 02:00:00,   14.8,   90.0,     .0,  180.0,     .4,  180.0,  780.0,     .0,     .0,      .0,      .0                                                                 
2006/10/01 02:30:00,   14.8,   85.0,     .4,  270.0,    3.1,  292.5,  779.9,     .0,     .0,      .0,      .0                                                                 
2006/10/01 03:00:00,   14.8,   85.0,     .0,  315.0,    3.1,  315.0,  779.7,     .0,     .0,      .0,      .0                                                                 
2006/10/01 03:30:00,   14.8,   84.0,     .0,  315.0,    2.7,  315.0,  779.6,     .0,     .0,      .0,      .0                                                                 
2006/10/01 04:00:00,   14.8,   83.0,     .0,  270.0,    2.7,  270.0,  779.5,     .0,     .0,      .0,      .0                                                                 
2006/10/01 04:30:00,   14.9,   82.0,     .4,  270.0,    3.6,  270.0,  779.6,     .0,     .0,      .0,      .0                                                                 
2006/10/01 05:00:00,   14.7,   82.0,     .4,  270.0,    3.6,  270.0,  779.7,     .0,     .0,      .0,      .0                                                                 
2006/10/01 05:30:00,   14.6,   82.0,     .0,  225.0,    2.7,  247.5,  779.9,     .0,     .0,      .0,      .0                                                                 
2006/10/01 06:00:00,   14.6,   82.0,     .0,  270.0,     .4,  270.0,  780.0,     .0,     .0,      .0,      .0                                                                 
2006/10/01 06:30:00,   14.6,   83.0,     .0,   null,     .0,   null,  780.3,     .0,     .0,      .0,      .0                                                                 
2006/10/01 07:00:00,   14.6,   83.0,     .0,  270.0,     .4,  270.0,  780.5,     .0,     .0,      .0,      .0                                                                 
